final_equity,max_drawdown_usd,equity_csv,run_log
4993.99,46.44,backtests/equity_90d_20260216_175659.csv,
4993.46,46.44,backtests/equity_90d_20260216_165434.csv,
4993.06,225.14,backtests/equity_90d_20260217_004954.csv,
4993.06,225.14,backtests/equity_90d_20260217_005216.csv,
4992.40,43.88,backtests/equity_90d_20260216_165600.csv,
4991.12,1269.24,backtests/equity_90d_20260223_051735.csv,
4991.12,1269.24,backtests/equity_90d_20260223_051804.csv,
4990.77,57.08,backtests/equity_90d_20260216_175849.csv,
4989.63,62.71,backtests/equity_90d_20260216_175929.csv,
4989.07,42.28,backtests/equity_90d_20260216_165504.csv,
4988.20,53.42,backtests/equity_90d_20260216_180001.csv,
4987.66,56.73,backtests/equity_90d_20260216_175806.csv,
4987.58,36.37,backtests/equity_90d_20260217_034941.csv,
4987.23,43.88,backtests/equity_90d_20260216_175831.csv,
4986.24,67.53,backtests/equity_90d_20260216_175812.csv,
4986.06,42.26,backtests/equity_90d_20260216_175730.csv,
4985.97,57.07,backtests/equity_90d_20260216_165617.csv,
4985.23,49.19,backtests/equity_90d_20260216_165421.csv,
4984.85,45.39,backtests/equity_90d_20260216_175633.csv,
4984.84,49.19,backtests/equity_90d_20260216_175647.csv,
4984.61,45.38,backtests/equity_90d_20260216_165407.csv,
4984.44,56.72,backtests/equity_90d_20260216_165537.csv,
4982.41,102.19,backtests/equity_90d_20260216_114601.csv,
4982.17,67.53,backtests/equity_90d_20260216_165542.csv,
4981.50,60.62,backtests/equity_90d_20260216_175837.csv,
4981.01,56.73,backtests/equity_90d_20260216_164910.csv,
4980.60,50.76,backtests/equity_90d_20260216_165645.csv,
4979.86,49.36,backtests/equity_90d_20260216_165315.csv,
4979.82,49.36,backtests/equity_90d_20260216_175543.csv,
4979.35,45.65,backtests/equity_90d_20260216_175529.csv,
4979.02,60.62,backtests/equity_90d_20260216_165605.csv,
4978.75,61.35,backtests/equity_90d_20260216_175948.csv,
4978.71,45.64,backtests/equity_90d_20260216_165258.csv,
4978.59,34.10,backtests/equity_90d_20260217_145242.csv,
4977.72,105.53,backtests/equity_90d_20260216_165103.csv,
4975.44,67.54,backtests/equity_90d_20260216_165447.csv,
4974.71,50.76,backtests/equity_90d_20260216_175920.csv,
4974.00,54.83,backtests/equity_90d_20260216_165730.csv,
4973.60,62.56,backtests/equity_90d_20260216_165650.csv,
4973.22,56.39,backtests/equity_90d_20260216_175742.csv,
4972.69,61.25,backtests/equity_90d_20260216_175907.csv,
4971.82,62.27,backtests/equity_90d_20260216_175755.csv,
4970.94,62.27,backtests/equity_90d_20260216_165526.csv,
4970.85,67.48,backtests/equity_90d_20260216_175712.csv,
4970.81,61.25,backtests/equity_90d_20260216_165634.csv,
4970.73,71.98,backtests/equity_90d_20260216_165354.csv,
4970.73,71.98,backtests/equity_90d_20260216_175621.csv,
4970.39,56.38,backtests/equity_90d_20260216_165515.csv,
4968.57,72.45,backtests/equity_90d_20260216_165341.csv,
4968.57,72.45,backtests/equity_90d_20260216_175609.csv,
4968.03,72.48,backtests/equity_90d_20260216_175556.csv,
4967.30,72.47,backtests/equity_90d_20260216_165330.csv,
4967.22,38.36,backtests/equity_90d_20260217_034506.csv,
4967.22,38.36,backtests/equity_90d_20260217_034733.csv,
4966.97,60.37,backtests/equity_90d_20260216_175705.csv,
